('167', '8.110076209600921', 'The Truman Show', '1998', 'Peter Weir (dir.), Jim Carrey, Ed Harris')
('168', '8.107475125741052', 'Gone with the Wind', '1939', 'Victor Fleming (dir.), Clark Gable, Vivien Leigh')
('169', '8.105740072991802', 'Finding Nemo', '2003', 'Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres')
('170', '8.10409476850107', 'Smultronstället', '1957', 'Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson')
('171', '8.103391218241528', 'Stalker', '1979', 'Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy')
('172', '8.103238467843545', 'Blade Runner', '1982', 'Ridley Scott (dir.), Harrison Ford, Rutger Hauer')
('173', '8.102810880348041', 'Kill Bill: Vol 1', '2003', 'Quentin Tarantino (dir.), Uma Thurman, David Carradine')
('174', '8.101507406059957', 'Salinui chueok', '2003', 'Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung')
('175', '8.099434920484102', 'Fargo', '1996', 'Joel Coen (dir.), William H. Macy, Frances McDormand')
('176', '8.099350549640112', 'The Bridge on the River Kwai', '1957', 'David Lean (dir.), William Holden, Alec Guinness')
('177', '8.095355533137564', 'Room', '2015', 'Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay')
('178', '8.09347264046751', 'Relatos salvajes', '2014', 'Damián Szifron (dir.), Darío Grandinetti, María Marull')
('179', '8.0931899642942', 'Gran Torino', '2008', 'Clint Eastwood (dir.), Clint Eastwood, Bee Vang')
('180', '8.092680079243152', 'The Third Man', '1949', 'Carol Reed (dir.), Orson Welles, Joseph Cotten')
('181', '8.092131956259388', 'Tôkyô monogatari', '1953', 'Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama')
('182', '8.091651995412333', 'On the Waterfront', '1954', 'Elia Kazan (dir.), Marlon Brando, Karl Malden')
('183', '8.0903888482212', 'The Deer Hunter', '1978', 'Michael Cimino (dir.), Robert De Niro, Christopher Walken')
('184', '8.086119797893584', 'In the Name of the Father', '1993', 'Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite')
('185', '8.084493031099797', 'Mary and Max', '2009', 'Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman')
('186', '8.082783768763468', 'The Grand Budapest Hotel', '2014', 'Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham')
('187', '8.0824179427762', 'Gone Girl', '2014', 'David Fincher (dir.), Ben Affleck, Rosamund Pike')
('188', '8.082386491748402', 'Before Sunrise', '1995', 'Richard Linklater (dir.), Ethan Hawke, Julie Delpy')
('189', '8.08147881169646', 'Catch Me If You Can', '2002', 'Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks')
('190', '8.080851606777653', 'Hacksaw Ridge', '2016', 'Mel Gibson (dir.), Andrew Garfield, Sam Worthington')
('191', '8.080536689556016', 'Anand', '1971', 'Hrishikesh Mukherjee (dir.), Rajesh Khanna, Amitabh Bachchan')
('192', '8.077381826661638', 'Persona', '1966', 'Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann')
('193', '8.077306873934843', 'Prisoners', '2013', 'Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal')
('194', '8.076589682539174', 'Andhadhun', '2018', 'Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu')
('195', '8.074875842252201', 'Höstsonaten', '1978', 'Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann')
('196', '8.074299493205483', 'The Big Lebowski', '1998', 'Joel Coen (dir.), Jeff Bridges, John Goodman')
('197', '8.072883321014183', 'Sherlock Jr', '1924', 'Buster Keaton (dir.), Buster Keaton, Kathryn McGuire')
('198', '8.070838091879827', 'To Be or Not to Be', '1942', 'Ernst Lubitsch (dir.), Carole Lombard, Jack Benny')
('199', '8.06940343097562', 'The General', '1926', 'Clyde Bruckman (dir.), Buster Keaton, Marion Mack')
('200', '8.069376884066413', 'How to Train Your Dragon', '2010', 'Dean DeBlois (dir.), Jay Baruchel, Gerard Butler')
('201', '8.068673342254431', 'Ford v Ferrari', '2019', 'James Mangold (dir.), Matt Damon, Christian Bale')
('202', '8.068512501257397', 'Barry Lyndon', '1975', "Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson")
('203', '8.067203313720555', '12 Years a Slave', '2013', 'Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams')
('204', '8.06628598739807', 'Eskiya', '1996', 'Yavuz Turgul (dir.), Sener Sen, Ugur Yücel')
('205', '8.065158024695663', 'Mr Smith Goes to Washington', '1939', 'Frank Capra (dir.), James Stewart, Jean Arthur')
('206', '8.061592208205136', 'Mad Max: Fury Road', '2015', 'George Miller (dir.), Tom Hardy, Charlize Theron')
('207', '8.060271655607398', 'Soul', '2020', 'Pete Docter (dir.), Jamie Foxx, Tina Fey')
('208', '8.057615540465244', 'Million Dollar Baby', '2004', 'Clint Eastwood (dir.), Hilary Swank, Clint Eastwood')
